Title,Genre,IMDB Rating,Rating
Bon Cop Bad Cop 2,"Action, Comedy, Crime",6.7,Not Rated
"Bon Cop, Bad Cop","Action, Comedy, Crime",6.8,R
Bonnie and Clyde,"Action, Biography, Crime",7.8,R
Boom,"Crime, Thriller",2.3,Not Rated
Born Racer,"Documentary, Action, Drama",6.2,R
Born Strong,"Documentary, Drama, Sport",7.2,TV-MA
Boss,"Crime, Drama",8.1,TV-MA
Bottom of the World,"Drama, Mystery, Thriller",5.2,Not Rated
Boyka: Undisputed,"Action, Drama, Sport",7.0,R
Brain on Fire,"Biography, Drama",6.6,PG-13
Brampton's Own,Drama,5.3,TV-MA
Brave Miss World,"Documentary, Biography, Drama",7.1,Not Rated
Brave New Jersey,"Comedy, History",5.3,TV-MA
Braven,"Action, Thriller",5.9,R
Breaking Free,Drama,6.5,PG
Breaking the Bank,Comedy,4.9,Not Rated
Breath,"Adventure, Drama, Romance",6.7,TV-MA
Brick,"Action, Crime, Drama",7.2,R
Bright,"Action, Fantasy, Thriller",6.3,TV-MA
Brooklyn's Finest,"Action, Crime, Drama",6.7,R
Brother,"Crime, Drama, Thriller",7.1,R
Brothers,"Action, Drama, Thriller",7.1,R
Budapest,Comedy,5.4,TV-MA
Buddies,"Drama, History, Romance",7.5,Not Rated
Budhia Singh: Born to Run,"Biography, Drama, Sport",7.6,Not Rated
Buffalo Boys,"Action, Drama, History",5.8,TV-MA
Bulbbul,"Drama, Horror, Mystery",6.6,TV-MA
Bullet Head,"Crime, Drama, Thriller",5.4,R
Bulletproof 2,"Action, Comedy",3.5,Not Rated
Burlesque,"Drama, Music, Musical",6.4,PG-13
Burn Out,"Action, Crime, Thriller",6.2,TV-MA
Mississippi Burning,"Crime, Drama, History",7.8,R
Burning Cane,Drama,5.5,TV-MA
Burning Sands,Drama,6.1,TV-MA
Bushwick,"Action, Thriller",5.2,TV-MA
Buster's Mal Heart,"Crime, Drama, Mystery",6.2,Unrated
BUtterfield 8,"Drama, Romance",6.4,Not Rated
BuyBust,"Action, Crime, Thriller",5.8,Not Rated
Bwakaw,Drama,7.0,TV-PG
By the Sea,"Drama, Romance",5.3,R
Bye Bye London,"Comedy, Drama",8.8,TV-14
C Kkompany,"Comedy, Drama, Thriller",5.4,Not Rated
Cézanne et moi,"Biography, Drama",6.0,R
Cabin Fever,Horror,5.6,R
Cake,Drama,6.4,R
Calendar Girls,"Comedy, Drama",6.9,PG-13
Calibre,"Drama, Thriller",6.8,TV-MA
Call the Midwife,"Drama, History",8.5,TV-PG
Cam,"Drama, Horror, Mystery",5.9,TV-MA
Camelia La Texana,"Crime, Drama, Romance",7.7,TV-14
Camera Store,Drama,5.7,Not Rated
Camp Cool Kids,"Animation, Comedy, Family, Mystery, Romance",4.7,TV-PG
Camp X-Ray,"Drama, War",6.9,R
Can't Hardly Wait,"Comedy, Romance",6.5,PG-13
Candy Jar,Comedy,5.8,TV-14
Candyman,"Horror, Thriller",6.7,R
Captain Underpants: Mega Blissmas,"Animation, Comedy, Family",5.2,TV-PG
Cargo,"Drama, Horror, Sci-Fi",6.3,TV-MA
Carlos Ballarta: El amor es de putos,Comedy,7.1,TV-MA
Carlos Ballarta: Furia ñera,Comedy,7.1,TV-MA
Carmen Sandiego: To Steal or Not to Steal,"Animation, Short, Action",7.0,TV-Y7-FV
Carol,"Drama, Romance",7.2,R
Carrie,"Horror, Mystery",7.4,R
Carrie Pilby,"Comedy, Drama",6.7,Not Rated
Carriers,"Action, Adventure, Drama",6.0,PG-13
Casa de mi Padre,"Comedy, Western",5.5,R
Case 39,"Horror, Mystery, Thriller",6.2,R
Casino Royale,"Action, Adventure, Thriller",8.0,PG-13
